Data_Inicio;Data_Fim;Valor;Norma
01/07/2012;31/08/2014;11000;LCE 463/2012
01/09/2014;28/02/2015;11660;Art. 1º, inciso I, LCE 514/2014
01/03/2015;31/08/2015;12592,8;Art. 1º, inciso II, LCE 514/2014
01/09/2015;29/02/2016;13726,152;Art. 1º, inciso III, LCE 514/2014
01/03/2016;29/02/2020;14961,50568;Art. 1º, inciso IV, LCE 514/2014
01/03/2020;31/10/2020;15335,54332;Art. 1º, inciso I, LCE 657/2019
01/11/2020;28/02/2021;15718,93191;Art. 1º, inciso II, LCE 657/2019
01/03/2021;31/10/2021;16269,09452;Art. 1º, inciso III, LCE 657/2019
01/11/2021;28/02/2022;16838,51283;Art. 1º, inciso IV, LCE 657/2019
01/03/2022;31/03/2022;17596,24591;Art. 1º, inciso V, LCE 657/2019
01/04/2022;30/11/2022;18402,15397;Art. 1º, LCE 702/2022
01/12/2022;31/12/2024;20253,41066;Art. 2º, LCE 702/2022
01/01/2025;31/03/2025;21228,21;Art. 9º, LCE 771/2024
01/04/2025;31/12/2025;22253,53254;Art. 2º, LCE 777/2025
01/01/2026;31/12/2099;23477,47683;Parágrafo único, Art. 9º, LCE 771/2024
